Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,41.27783876,787.710217,454.867171,493.0910807,161.688006,10000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,317.3464414,703.1602939,527.0491797,516.0386622,105.1838174,10000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,89.71187027,758.5480212,424.8476091,451.0147539,139.1765296,5000,0.01,0.98,30,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,286.9644441,747.5164613,526.3732749,513.8276689,132.9454058,3666.666667,0.03,0.976666667,25,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,155.0047153,837.1223586,554.3941772,590.9624722,169.7262133,2944.444445,0.043333333,0.971111111,23,,,,,,,,,,,,,,,
Random Search,Schwefel,10,1483.669713,2073.918924,1847.612387,1850.186086,141.1882872,,,,,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1189.749293,2464.052385,2015.213024,2017.857101,313.2505802,1000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,561.6281963,2209.79029,1644.070382,1679.151994,358.1331931,1000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1129.863057,2018.173118,1631.549743,1664.646291,206.0357835,1000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1570.812754,2849.084814,2099.706729,2026.787201,284.7113586,1000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1027.211631,2275.225313,1733.063657,1782.506913,281.8839705,1000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,839.8339962,2104.172827,1584.475078,1642.537182,292.8641413,1000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1402.324248,2565.101694,2040.870327,2081.989212,274.2418455,1000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1220.297097,2219.826529,1760.099085,1759.802766,233.7609787,1000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1228.322657,2007.658621,1632.319788,1659.36233,202.2201475,1000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,810.5089025,2455.907043,2035.735279,2120.239924,344.8801291,5000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1006.261673,2169.616387,1693.835261,1724.786911,276.3423203,5000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1416.255229,2202.946861,1857.626357,1882.646672,190.3657503,5000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1569.613941,2520.50798,2074.633132,2062.194692,227.7263175,5000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,10,1362.377856,2155.581786,1784.298475,1757.512818,221.9205455,5000,0.01,0.98,20,,,,,,,,,,,,,,,
